Timestamp,User ID,Username,Action,Entity,Entity ID,Details
2026-02-18 13:42:00.088924,3,suissi1,SESSION_START,,,Authenticated access to dashboard
2026-02-18 13:41:59.502340,3,suissi1,LOGIN_SUCCESS,USER,3,User logged in
2026-02-18 12:59:31.742579,3,suissi1,CONTRACT_DELETED,CONTRACT,7,Deleted contract for AuditUser_6089 Updated
2026-02-18 12:58:27.139234,3,suissi1,SESSION_START,,,Authenticated access to dashboard
2026-02-18 12:58:27.039736,3,suissi1,LOGIN_SUCCESS,USER,3,User logged in
2026-02-18 12:57:20.294906,13,bouba1221,SESSION_START,,,Authenticated access to dashboard
2026-02-18 12:57:19.287071,13,bouba1221,LOGIN_SUCCESS,USER,13,User logged in
2026-02-18 12:54:31.283622,3,suissi1,CONTRACT_UPDATED,CONTRACT,8,"{""before"": {""first_name"": ""AuditUser_9983"", ""last_name"": ""Test"", ""type"": ""CDI"", ""start"": ""2030-01-01"", ""end"": ""None""}, ""after"": {""first_name"": ""AuditUser_9983"", ""last_name"": ""Updated"", ""type"": ""CDD"", ""start"": ""2030-01-01"", ""end"": ""2030-12-31""}, ""reason"": ""Audit verification test""}"
2026-02-18 12:54:31.249715,3,suissi1,CONTRACT_CREATED,CONTRACT,8,"{""employee_id"": 8, ""type"": ""CDI"", ""start"": ""2030-01-01"", ""end"": ""None""}"
2026-02-18 12:38:16.790954,3,,SESSION_START,,,Authenticated access to dashboard
2026-02-18 12:38:16.248665,3,,LOGIN_SUCCESS,,,User logged in
2026-02-18 12:36:55.606942,13,,SESSION_START,,,Authenticated access to dashboard
2026-02-18 12:36:55.310263,13,,LOGIN_SUCCESS,,,User logged in
2026-02-18 12:36:52.660555,13,,PASSWORD_RESET_SUCCESS,,,Password reset completed
2026-02-18 12:36:36.919141,13,,PASSWORD_RESET_REQUESTED,,,Password reset OTP sent
2026-02-18 12:36:27.210181,13,,ACTIVATION_SUCCESS,,,Account activated
2026-02-18 12:35:31.326860,13,,OTP_RESENT,,,Activation OTP resent
2026-02-18 12:27:25.301972,13,,SESSION_START,,,Authenticated access to dashboard
2026-02-18 12:27:25.015074,13,,LOGIN_SUCCESS,,,User logged in
2026-02-18 12:27:17.970529,13,,PASSWORD_RESET_SUCCESS,,,Password reset completed
2026-02-18 12:26:57.528495,13,,PASSWORD_RESET_REQUESTED,,,Password reset OTP sent
2026-02-18 12:26:31.893378,13,,ACTIVATION_SUCCESS,,,Account activated
2026-02-18 12:25:28.152206,13,,OTP_RESENT,,,Activation OTP resent
2026-02-18 12:23:49.404319,15,,PASSWORD_RESET_FAILED,,,Invalid OTP (1/3)
2026-02-18 12:23:49.305559,15,,PASSWORD_RESET_REQUESTED,,,Password reset OTP sent
2026-02-18 12:23:49.164832,15,,PASSWORD_RESET_FAILED,,,Invalid OTP (1/3)
2026-02-18 12:23:49.049694,15,,PASSWORD_RESET_REQUESTED,,,Password reset OTP sent
2026-02-18 12:23:48.917518,15,,ACCOUNT_LOCKED,,,Locked after 5 failed login attempts
2026-02-18 12:23:48.815830,15,,LOGIN_FAILED,,,Invalid password attempt
2026-02-18 12:23:48.718052,15,,LOGIN_FAILED,,,Invalid password attempt
2026-02-18 12:23:48.622818,15,,LOGIN_FAILED,,,Invalid password attempt
2026-02-18 12:23:48.526331,15,,LOGIN_FAILED,,,Invalid password attempt
2026-02-18 12:23:48.427463,15,,LOGIN_SUCCESS,,,User logged in
2026-02-18 12:23:48.338071,15,,STATUS_CHANGE,,,Activated account for testuser_auth
2026-02-18 12:23:48.307432,15,,OTP_RESENT,,,Activation OTP resent
2026-02-18 12:23:48.195777,15,,ACTIVATION_FAILED,,,Invalid OTP (1/3)
2026-02-18 12:23:48.003397,15,,REGISTER,,,User registered as user
2026-02-18 12:23:20.196150,14,,REGISTER,,,User registered as user
2026-02-18 12:18:55.192482,13,,ACTIVATION_FAILED,,,Invalid OTP (2/3)
2026-02-18 12:12:37.521444,13,,ACTIVATION_FAILED,,,Invalid OTP (1/3)
2026-02-18 12:12:06.364293,13,,OTP_RESENT,,,Activation OTP resent
2026-02-18 12:11:48.178705,13,,ACTIVATION_FAILED,,,Invalid OTP (2/3)
2026-02-18 12:11:25.851102,13,,ACTIVATION_FAILED,,,Invalid OTP (1/3)
2026-02-18 12:11:04.162290,13,,OTP_RESENT,,,Activation OTP resent
2026-02-18 11:59:19.903887,13,,OTP_RESENT,,,Activation OTP resent
2026-02-18 11:58:53.370207,13,,LOGIN_FAILED,,,Invalid password attempt
2026-02-18 11:58:18.002338,3,,STATUS_CHANGE,,,Deactivated account for bouba1221
2026-02-18 11:57:59.224582,3,,STATUS_CHANGE,,,Deactivated account for bouba1221
2026-02-18 11:56:06.514104,3,,USER_DELETED,,,Deleted testuser_modular
2026-02-18 11:56:00.800740,3,,USER_DELETED,,,Deleted test_user_clean
2026-02-18 11:55:57.503587,3,,USER_DELETED,,,Deleted test_sim_user
2026-02-18 11:55:53.635305,3,,USER_DELETED,,,Deleted test_fallback
2026-02-18 11:55:49.025218,3,,USER_DELETED,,,Deleted test_user_v2
2026-02-18 11:55:36.666190,3,,USER_DELETED,,,Deleted testuser_email_fix
2026-02-18 11:55:07.531948,3,,SESSION_START,,,Authenticated access to dashboard
2026-02-18 11:55:06.515444,3,,LOGIN_SUCCESS,,,User logged in
